Company Name,Ticker,Industry,Year,Revenue,Cost of Sales / COGS,Gross Profit,Operating Profit / EBIT,EBITDA,Interest Expense,Net Income,Cash & Cash Equivalents,Accounts Receivable,Inventory,Current Assets,Total Assets,Current Liabilities,Total Liabilities,Short-Term Debt,Long-Term Debt,Total Debt,Total Equity,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Capital Expenditure,Distress Status,Distress Event,Distress Event Year,Current Ratio,Quick Ratio,Cash Ratio,Net Profit Margin,EBIT Margin,ROA,ROE,ROE_negative_equity_flag,Debt-to-Equity,Debt-to-Equity_negative_equity_flag,Debt Ratio,Liabilities-to-Assets,Interest Coverage,Asset Turnover,Inventory Turnover,Receivables Turnover,Operating Cash Flow Ratio,CFO to Debt,Free Cash Flow,CFO to Net Income
Abbott Laboratories,ABT,Medical Devices,2024,41950000000.0,18706000000.0,23244000000.0,6825000000.0,10790000000.0,559000000.0,13402000000.0,7616000000.0,9495000000.0,6194000000.0,23656000000.0,81414000000.0,14157000000.0,33513000000.0,1500000000.0,12625000000.0,14125000000.0,47664000000.0,8558000000.0,-2338000000.0,-5404000000.0,-2207000000.0,0.0,,,1.6709754891573074,1.233453415271597,0.5379670834216289,0.3194755661501788,0.1626936829558999,0.1646154224089223,0.2811765693185633,False,0.29634525008392076,False,0.17349595892598324,0.4116368192202815,12.209302325581396,0.5152676443854866,2.931056095267941,4.580694474776152,0.6045066045066045,0.6058761061946902,10765000000.0,0.6385614087449635
Abbott Laboratories,ABT,Medical Devices,2025,44328000000.0,19319000000.0,25009000000.0,8053000000.0,12075000000.0,493000000.0,6524000000.0,8522000000.0,10569000000.0,6488000000.0,25996000000.0,86713000000.0,16496000000.0,33942000000.0,3033000000.0,9896000000.0,12929000000.0,52130000000.0,9566000000.0,-2422000000.0,-6309000000.0,-2171000000.0,0.0,,,1.5758971871968963,1.1825897187196897,0.5166100872938895,0.14717560007218913,0.18166847139505504,0.07523670037941255,0.12514866679455208,False,0.24801457893727222,False,0.14910105751156114,0.39142919746750776,16.33468559837728,0.5112036257539239,3.0466803343321245,4.41866028708134,0.579898157129001,0.7398870755665558,11737000000.0,1.4662783568362967
Adobe Inc.,ADBE,Software - Application,2023,19409000000.0,2354000000.0,17055000000.0,6650000000.0,7784000000.0,113000000.0,5428000000.0,7141000000.0,2224000000.0,0.0,11084000000.0,29779000000.0,8251000000.0,13261000000.0,73000000.0,3634000000.0,3707000000.0,16518000000.0,7302000000.0,776000000.0,-5182000000.0,-360000000.0,0.0,,,1.3433523209307963,1.3433523209307963,0.8654708520179372,0.2796640733680251,0.3426245556185275,0.18227610060781088,0.32861121201113935,False,0.224421842838116,False,0.12448369656469324,0.4453138117465328,58.849557522123895,0.6517680244467577,,8.72706834532374,0.884983638346867,1.9697868896681954,7662000000.0,1.345246868091378
Adobe Inc.,ADBE,Software - Application,2024,21505000000.0,2358000000.0,19147000000.0,7741000000.0,7957000000.0,169000000.0,5560000000.0,7613000000.0,2072000000.0,0.0,11232000000.0,30230000000.0,10521000000.0,16125000000.0,1499000000.0,4129000000.0,5628000000.0,14105000000.0,8056000000.0,149000000.0,-7724000000.0,-183000000.0,0.0,,,1.067579127459367,1.067579127459367,0.7236004182111967,0.25854452452917925,0.3599627993489886,0.18392325504465762,0.3941864587025877,False,0.3990074441687345,False,0.18617267614952035,0.5334105193516374,45.80473372781065,0.711379424412835,,10.011638733705773,0.7657066818743465,1.431414356787491,8239000000.0,1.4489208633093524
Adobe Inc.,ADBE,Software - Application,2025,23769000000.0,2551000000.0,21218000000.0,8706000000.0,9815000000.0,263000000.0,7130000000.0,5431000000.0,2344000000.0,0.0,10163000000.0,29496000000.0,10200000000.0,17873000000.0,77000000.0,6210000000.0,6287000000.0,11623000000.0,10031000000.0,-1187000000.0,-11060000000.0,-179000000.0,0.0,,,0.9963725490196078,0.9963725490196078,0.5324509803921569,0.2999705498758888,0.36627540073204595,0.2417276918904258,0.6134388712036479,False,0.5409102641314635,False,0.21314754542988879,0.6059465690263086,33.10266159695818,0.8058380797396257,,10.764945652173912,0.9834313725490196,1.5955145538412598,10210000000.0,1.4068723702664796
"AMC Entertainment Holdings, Inc",AMC,Entertainment,2023,4812600000.0,1606400000.0,3206200000.0,39100000.0,383000000.0,411200000.0,-396600000.0,884300000.0,205200000.0,39500000.0,1203100000.0,9009200000.0,1632400000.0,10857100000.0,25100000.0,4552300000.0,4577400000.0,-1847900000.0,-215200000.0,-180100000.0,649300000.0,-229600000.0,1.0,Severe Debt Restructuring & Dilution,2023.0,0.737012987012987,0.712815486400392,0.5417177162460182,-0.08240867722229149,0.00812450650376096,-0.0440216667406651,0.2146220033551599,True,-2.4770820931868607,True,0.5080806286906717,1.2051125516139058,0.09508754863813229,0.5341872752297652,40.66835443037974,23.453216374269005,-0.13183043371722616,-0.047013588500021845,14400000.0,0.5426122037317196
"AMC Entertainment Holdings, Inc",AMC,Entertainment,2024,4637200000.0,1544800000.0,3092400000.0,-6800000.0,412700000.0,443700000.0,-352600000.0,632300000.0,169500000.0,51200000.0,947200000.0,8247500000.0,1744800000.0,10008000000.0,64200000.0,4010900000.0,4075100000.0,-1760500000.0,-50800000.0,-242900000.0,68400000.0,-245500000.0,0.0,,,0.5428702430077946,0.5135259055479138,0.3623911049977075,-0.07603726386612611,-0.0014664021392219442,-0.04275234919672628,0.20028401022436806,True,-2.314740130644703,True,0.4941012428008487,1.2134586238254017,-0.01532567049808429,0.5622552288572294,34.063947078280044,24.75153456098212,-0.02911508482347547,-0.012465951755785134,194700000.0,0.14407260351673284
"AMC Entertainment Holdings, Inc",AMC,Entertainment,2025,4848900000.0,1602200000.0,3246700000.0,40500000.0,215700000.0,530200000.0,-632400000.0,428500000.0,157300000.0,42600000.0,730500000.0,8017800000.0,1772300000.0,9912600000.0,19900000.0,4018600000.0,4038500000.0,-1894800000.0,-119800000.0,-221600000.0,125200000.0,-246100000.0,0.0,,,0.41217626812616376,0.3881397054674717,0.24177622298707893,-0.13042133267338984,0.008352409824908742,-0.07887450422809249,0.3337555414819506,True,-2.1313595102385476,True,0.503691785776647,1.236324178702387,0.07638626933232742,0.604766893661603,34.16204690831557,29.675030599755203,-0.06759577949557073,-0.02966447938591061,126300000.0,0.1894370651486401
"Amazon.com, Inc.",AMZN,Internet Retail,2023,574785000000.0,304739000000.0,270046000000.0,36852000000.0,89402000000.0,3182000000.0,30425000000.0,73387000000.0,52253000000.0,33318000000.0,172351000000.0,527854000000.0,164917000000.0,325979000000.0,0.0,58314000000.0,58314000000.0,201875000000.0,84946000000.0,-49833000000.0,-15879000000.0,-52729000000.0,0.0,,,1.0450772206625152,0.8430483212767634,0.4449935422060794,0.05293283575597832,0.0641144079960333,0.057639044129626754,0.15071207430340558,False,0.28886191950464396,False,0.11047372947822694,0.6175552330758126,11.581395348837209,1.0889090543976174,9.146377333573444,11.000038275314337,0.5150833449553411,1.4566999348355454,137675000000.0,2.7919802793755135
"Amazon.com, Inc.",AMZN,Internet Retail,2024,637959000000.0,326288000000.0,311671000000.0,68593000000.0,123815000000.0,2406000000.0,59248000000.0,78779000000.0,55451000000.0,34214000000.0,190867000000.0,624894000000.0,179431000000.0,338924000000.0,0.0,52623000000.0,52623000000.0,285970000000.0,115877000000.0,-94342000000.0,-11812000000.0,-82999000000.0,0.0,,,1.063734806137178,0.8730542659852534,0.43904899376361944,0.09287117197186653,0.1075194487420038,0.09481288026449286,0.2071825715984194,False,0.18401580585376087,False,0.08421108219954104,0.5423703860174686,28.509143807148796,1.020907545919788,9.663211514541254,11.846523805986779,0.645802564774203,2.2020219295745207,198876000000.0,1.9557959762354848
