Company Name,Ticker,Industry,Year,Revenue,Cost of Sales / COGS,Gross Profit,Operating Profit / EBIT,EBITDA,Interest Expense,Net Income,Cash & Cash Equivalents,Accounts Receivable,Inventory,Current Assets,Total Assets,Current Liabilities,Total Liabilities,Short-Term Debt,Long-Term Debt,Total Debt,Total Equity,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Capital Expenditure,Distress Status,Distress Event,Distress Event Year,Current Ratio,Quick Ratio,Cash Ratio,Net Profit Margin,EBIT Margin,ROA,ROE,ROE_negative_equity_flag,Debt-to-Equity,Debt-to-Equity_negative_equity_flag,Debt Ratio,Liabilities-to-Assets,Interest Coverage,Asset Turnover,Inventory Turnover,Receivables Turnover,Operating Cash Flow Ratio,CFO to Debt,Free Cash Flow,CFO to Net Income,Revenue Growth,Net Income Growth,EBIT Growth,Total Debt Growth,Asset Growth,ROA Change,ROE Change,Current Ratio Change,Debt-to-Equity Change,Interest Coverage Change,Operating Cash Flow Change,Free Cash Flow Change,Flag: ROA Declining,Flag: Revenue Declining,Flag: Debt Increasing,Flag: Interest Coverage Declining,Flag: Operating Cash Flow Negative,Flag: Free Cash Flow Negative,Flag: Current Ratio Declining,Flag: Debt-to-Equity Increasing,Deterioration Score (0-8),Target: Distress Next Year
"American Airlines Group, Inc.",AAL,Airlines,2023,52788000000.0,40978000000.0,11810000000.0,4005000000.0,5520000000.0,2145000000.0,822000000.0,578000000.0,2026000000.0,2400000000.0,13572000000.0,63058000000.0,22062000000.0,68260000000.0,3501000000.0,28895000000.0,32396000000.0,-5202000000.0,3803000000.0,-502000000.0,-3206000000.0,-2596000000.0,1.0,Negative Stockholder Equity / Excessive Leverage,2023.0,0.6151754147402774,0.5063910796845255,0.0261988940259269,0.0155717208456467,0.0758695157990452,0.0130356180024739,-0.1580161476355248,True,-6.227604767397155,True,0.513749246725237,1.0824954803514224,1.867132867132867,0.8371340670493831,17.074166666666667,26.05528134254689,0.1723778442570936,0.1173910359303617,6399000000.0,4.626520681265207,,,,,,,,,,,,,False,False,False,False,False,False,False,False,0,0.0
"American Airlines Group, Inc.",AAL,Airlines,2024,54211000000.0,42746000000.0,11465000000.0,3224000000.0,5333000000.0,1934000000.0,846000000.0,804000000.0,2006000000.0,2638000000.0,13154000000.0,61783000000.0,24295000000.0,65760000000.0,5270000000.0,24617000000.0,29887000000.0,-3977000000.0,3983000000.0,-968000000.0,-2794000000.0,-2683000000.0,0.0,,,0.5414282774233381,0.432846264663511,0.0330932290594772,0.0156056888823301,0.0594713250078397,0.0136930870951556,-0.2127231581594166,True,-7.514961025898919,True,0.4837414822847709,1.0643704578929478,1.667011375387797,0.8774420147937135,16.96943231441048,26.890376984126984,0.1639431981889277,0.1332686452303677,6666000000.0,4.708037825059102,0.026956884140334925,0.029197080291970802,-0.19500624219725343,-0.0774478330658106,-0.02021948047828983,0.0006574690926816999,-0.05470701052389179,-0.07374713731693927,-1.287356258501764,-0.20012149174507,0.047331054430712595,0.04172526957337084,False,False,False,True,False,False,True,False,2,0.0
"American Airlines Group, Inc.",AAL,Airlines,2025,54633000000.0,44162000000.0,10471000000.0,1626000000.0,4125000000.0,1716000000.0,111000000.0,954000000.0,2075000000.0,2792000000.0,12205000000.0,61774000000.0,24492000000.0,65501000000.0,4555000000.0,24639000000.0,29194000000.0,-3727000000.0,3099000000.0,-1894000000.0,-1051000000.0,-3779000000.0,0.0,,,0.4983259839947738,0.3843295770047362,0.0389514943655071,0.0020317390588106,0.0297622316182527,0.0017968724706187,-0.0297826670244164,True,-7.833109739737054,True,0.4725936478129957,1.0603328261080711,0.9475524475524476,0.8844012043901965,16.265930018416206,26.77432001960304,0.126531112199902,0.1061519490306227,6878000000.0,27.91891891891892,0.007784398000405822,-0.8687943262411347,-0.4956575682382134,-0.02318733897681266,-0.00014567113931016624,-0.0118962146245369,0.1829404911350002,-0.04310229342856431,-0.31814871383813514,-0.7194589278353495,-0.22194325885011298,0.0318031803180318,True,False,False,True,False,False,True,False,3,
Apple Inc.,AAPL,Consumer Electronics,2023,383285000000.0,214137000000.0,169148000000.0,114301000000.0,125820000000.0,3933000000.0,96995000000.0,29965000000.0,60985000000.0,6331000000.0,143566000000.0,352583000000.0,145308000000.0,290437000000.0,15807000000.0,95281000000.0,111088000000.0,62146000000.0,110543000000.0,3705000000.0,-108488000000.0,-10959000000.0,0.0,,,0.9880116717592976,0.9444421504665952,0.206217138767308,0.2530623426432028,0.2982141226502472,0.2750983456377647,1.5607601454639075,False,1.7875325845589418,False,0.3150690759338936,0.8237407929480435,29.062039155860667,1.087077369016657,33.82356657716001,6.284906124456834,0.7607495802020535,0.995093979547746,121502000000.0,1.1396773029537606,,,,,,,,,,,,,False,False,False,False,False,False,False,False,0,0.0
Apple Inc.,AAPL,Consumer Electronics,2024,391035000000.0,210352000000.0,180683000000.0,123216000000.0,134661000000.0,,93736000000.0,29943000000.0,66243000000.0,7286000000.0,152987000000.0,364980000000.0,176392000000.0,308030000000.0,20879000000.0,85750000000.0,106629000000.0,56950000000.0,118254000000.0,2935000000.0,-121983000000.0,-9447000000.0,0.0,,,0.8673125765340832,0.8260068483831466,0.1697525964896367,0.2397125576994386,0.3151022287007556,0.2568250315085758,1.6459350307287095,False,1.872326602282704,False,0.2921502548084826,0.8439640528248123,,1.0713874732862074,30.89549827421605,6.146995944288993,0.6704045534944896,1.109022873702276,127701000000.0,1.2615643936161134,0.020219940775141214,-0.033599670086086914,0.07799581805933456,-0.0401393489845888,0.035160515396374756,-0.018273314129188922,0.08517488526480199,-0.12069909522521438,0.08479401772376227,,0.06975566069312394,0.051019736300637025,True,False,False,False,False,False,True,True,3,0.0
Apple Inc.,AAPL,Consumer Electronics,2025,416161000000.0,220960000000.0,195201000000.0,133050000000.0,144748000000.0,,112010000000.0,35934000000.0,72957000000.0,5718000000.0,147957000000.0,359241000000.0,165631000000.0,285508000000.0,20329000000.0,78328000000.0,98657000000.0,73733000000.0,111482000000.0,15195000000.0,-120686000000.0,-12715000000.0,0.0,,,0.8932929222186667,0.858770399261008,0.2169521406016989,0.2691506412181824,0.3197079976259188,0.3117962593356549,1.5191298333175105,False,1.3380304612588665,False,0.2746262258483859,0.7947533828265705,,1.1584451663368045,33.98338972623808,5.979324712643678,0.6730744848488508,1.1299958441874374,124197000000.0,0.995286135166503,0.0642551178283274,0.19495177946573355,0.07981106349824699,-0.07476390100254152,-0.015724149268453065,0.05497122782707914,-0.126805197411199,0.025980345684583517,-0.5342961410238376,,-0.05726656180763441,-0.02743909601334367,False,False,False,False,False,False,False,False,0,
AbbVie Inc.,ABBV,Drug Manufacturers - General,2023,54318000000.0,20415000000.0,33903000000.0,13535000000.0,17172000000.0,2224000000.0,4863000000.0,12814000000.0,11155000000.0,4099000000.0,33002000000.0,134711000000.0,37841000000.0,124314000000.0,7191000000.0,52194000000.0,59385000000.0,10360000000.0,22839000000.0,-2009000000.0,-17222000000.0,-777000000.0,0.0,,,0.8721228297349436,0.7638011680452419,0.3386274147089136,0.0895283331492323,0.2491807503958172,0.0360995018966528,0.4694015444015444,False,5.732142857142857,False,0.4408325971895391,0.9228199627350402,6.085881294964029,0.4032187423447231,4.980483044645036,4.869385925593904,0.6035517031790915,0.3845920687042182,23616000000.0,4.696483652066625,,,,,,,,,,,,,False,False,False,False,False,False,False,False,0,0.0
AbbVie Inc.,ABBV,Drug Manufacturers - General,2024,56334000000.0,16904000000.0,39430000000.0,11894000000.0,14910000000.0,2808000000.0,4278000000.0,5524000000.0,10919000000.0,4181000000.0,25582000000.0,135161000000.0,38749000000.0,131797000000.0,6804000000.0,60340000000.0,67144000000.0,3325000000.0,18806000000.0,-20820000000.0,-5211000000.0,-974000000.0,0.0,,,0.6601976825208392,0.5522981238225503,0.1425585176391648,0.0759399297049739,0.2111335960521177,0.0316511419714266,1.2866165413533834,False,20.19368421052632,False,0.4967705181228313,0.9751111637232632,4.235754985754986,0.4167918260444951,4.0830917874396135,5.104104376189182,0.4853286536426746,0.2800845943047778,19780000000.0,4.395979429640018,0.03711476858499945,-0.1202961135101789,-0.12124122644994459,0.13065588953439422,0.003340484444477437,-0.0044483599252262,0.817214996951839,-0.21192514721410438,14.461541353383463,-1.8501263092090428,-0.1765839134813258,-0.16243224932249323,True,False,True,True,False,False,True,True,5,0.0
AbbVie Inc.,ABBV,Drug Manufacturers - General,2025,61160000000.0,18204000000.0,42956000000.0,20091000000.0,17629000000.0,2893000000.0,4226000000.0,5229000000.0,12589000000.0,4951000000.0,29062000000.0,133960000000.0,43289000000.0,137188000000.0,8555000000.0,58941000000.0,67496000000.0,-3270000000.0,19030000000.0,-6643000000.0,-12724000000.0,-1214000000.0,0.0,,,0.6713483794959458,0.5569775231583081,0.1207928111067476,0.0690974493132766,0.3284990189666448,0.0315467303672738,-1.292354740061162,True,-20.64097859327217,True,0.5038518960883845,1.0240967452971037,6.944694089180781,0.4565541952821738,3.9868593955321945,5.203335034881742,0.4396035944466261,0.2819426336375489,20244000000.0,4.503076194983436,0.08566762523520431,-0.012155212716222535,0.6891710105935765,0.005242463958060288,-0.008885699277158352,-0.00010441160415280287,-2.578971281414545,0.011150696975106622,-40.834662803798494,2.708939103425795,0.011911092204615548,0.023458038422649142,True,False,True,False,False,False,False,False,2,
Abbott Laboratories,ABT,Medical Devices,2023,40109000000.0,17975000000.0,22134000000.0,6478000000.0,10544000000.0,637000000.0,5723000000.0,6896000000.0,8821000000.0,6570000000.0,22670000000.0,73214000000.0,13841000000.0,34387000000.0,1080000000.0,13599000000.0,14679000000.0,38603000000.0,7261000000.0,-3133000000.0,-7091000000.0,-2202000000.0,0.0,,,1.6378874358789104,1.1632107506683045,0.4982298966837656,0.1426861801590665,0.1615098855618439,0.0781681099243314,0.1482527264720358,False,0.3802554205631687,False,0.2004944409539159,0.4696779304504603,10.169544740973311,0.5478323817849046,2.7359208523592087,4.546990137172656,0.5246008236399105,0.4946522242659582,9463000000.0,1.2687401712388608,,,,,,,,,,,,,False,False,False,False,False,False,False,False,0,0.0
