Company Name,Ticker,Industry,Year,Revenue,Cost of Sales / COGS,Gross Profit,Operating Profit / EBIT,EBITDA,Interest Expense,Net Income,Cash & Cash Equivalents,Accounts Receivable,Inventory,Current Assets,Total Assets,Current Liabilities,Total Liabilities,Short-Term Debt,Long-Term Debt,Total Debt,Total Equity,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Capital Expenditure,Distress Status,Distress Event,Distress Event Year
"AMC Entertainment Holdings, Inc",AMC,Entertainment,2023,4812600000.0,1606400000.0,3206200000.0,39100000.0,383000000.0,411200000.0,-396600000.0,884300000.0,205200000.0,39500000.0,1203100000.0,9009200000.0,1632400000.0,10857100000.0,25100000.0,4552300000.0,4577400000.0,-1847900000.0,-215200000.0,-180100000.0,649300000.0,-229600000.0,1.0,Severe Debt Restructuring & Dilution,2023.0
"AMC Entertainment Holdings, Inc",AMC,Entertainment,2024,4637200000.0,1544800000.0,3092400000.0,-6800000.0,412700000.0,443700000.0,-352600000.0,632300000.0,169500000.0,51200000.0,947200000.0,8247500000.0,1744800000.0,10008000000.0,64200000.0,4010900000.0,4075100000.0,-1760500000.0,-50800000.0,-242900000.0,68400000.0,-245500000.0,0.0,,
"AMC Entertainment Holdings, Inc",AMC,Entertainment,2025,4848900000.0,1602200000.0,3246700000.0,40500000.0,215700000.0,530200000.0,-632400000.0,428500000.0,157300000.0,42600000.0,730500000.0,8017800000.0,1772300000.0,9912600000.0,19900000.0,4018600000.0,4038500000.0,-1894800000.0,-119800000.0,-221600000.0,125200000.0,-246100000.0,0.0,,
"Amazon.com, Inc.",AMZN,Internet Retail,2023,574785000000.0,304739000000.0,270046000000.0,36852000000.0,89402000000.0,3182000000.0,30425000000.0,73387000000.0,52253000000.0,33318000000.0,172351000000.0,527854000000.0,164917000000.0,325979000000.0,0.0,58314000000.0,58314000000.0,201875000000.0,84946000000.0,-49833000000.0,-15879000000.0,-52729000000.0,0.0,,
"Amazon.com, Inc.",AMZN,Internet Retail,2024,637959000000.0,326288000000.0,311671000000.0,68593000000.0,123815000000.0,2406000000.0,59248000000.0,78779000000.0,55451000000.0,34214000000.0,190867000000.0,624894000000.0,179431000000.0,338924000000.0,0.0,52623000000.0,52623000000.0,285970000000.0,115877000000.0,-94342000000.0,-11812000000.0,-82999000000.0,0.0,,
"Amazon.com, Inc.",AMZN,Internet Retail,2025,716924000000.0,356414000000.0,360510000000.0,79975000000.0,165341000000.0,2274000000.0,77670000000.0,86810000000.0,67729000000.0,38325000000.0,229083000000.0,818042000000.0,218005000000.0,406977000000.0,0.0,65648000000.0,65648000000.0,411065000000.0,139514000000.0,-142545000000.0,9661000000.0,-131819000000.0,0.0,,
BlackBerry Limited,BB,Software - Infrastructure,2023,526300000.0,159700000.0,366600000.0,-69600000.0,-90700000.0,6400000.0,-734400000.0,295000000.0,135000000.0,0.0,743000000.0,1679000000.0,729000000.0,822000000.0,367000000.0,52000000.0,419000000.0,857000000.0,-262200000.0,175200000.0,6000000.0,-40900000.0,1.0,Strategic Review & Debt Refinancing,2024.0
BlackBerry Limited,BB,Software - Infrastructure,2024,759100000.0,268400000.0,490700000.0,45600000.0,93900000.0,5600000.0,-130200000.0,175100000.0,223700000.0,0.0,507500000.0,1395000000.0,356900000.0,619900000.0,19600000.0,194100000.0,213700000.0,775100000.0,-3500000.0,46600000.0,-165100000.0,-20900000.0,1.0,Strategic Review & Debt Refinancing,2024.0
BlackBerry Limited,BB,Software - Infrastructure,2025,534900000.0,140000000.0,394900000.0,13100000.0,59200000.0,6000000.0,-79000000.0,266700000.0,223700000.0,0.0,591500000.0,1295600000.0,344300000.0,575700000.0,15000000.0,195300000.0,210300000.0,719900000.0,16500000.0,60700000.0,3100000.0,-10100000.0,0.0,,
Blink Charging Co.,BLNK,Engineering & Construction,2023,140129000.0,100392000.0,39737000.0,-105340000.0,-186212000.0,3546000.0,-203693000.0,98721000.0,45447000.0,47942000.0,221734000.0,428519000.0,69701000.0,139122000.0,6792000.0,7188000.0,13980000.0,289397000.0,-97570000.0,-36210000.0,197315000.0,-8580000.0,1.0,Operating Cash Deficit / Restructuring Plan,2024.0
Blink Charging Co.,BLNK,Engineering & Construction,2024,122989000.0,86392000.0,36597000.0,-73298000.0,-187480000.0,431000.0,-201318000.0,41774000.0,42072000.0,36608000.0,139480000.0,215026000.0,59468000.0,99510000.0,265000.0,7259000.0,7524000.0,115516000.0,-48291000.0,5277000.0,-12419000.0,-8617000.0,1.0,Operating Cash Deficit / Restructuring Plan,2024.0
